Id,Category
HW00007619,2
HW00006379,2
HW00006960,2
HW00002485,2
HW00000995,1
HW00005852,2
HW00001945,6
HW00007820,6
HW00007170,0
HW00000636,7
HW00006947,1
HW00005632,2
HW00001968,6
HW00004397,6
HW00003993,0
HW00005906,9
HW00001864,9
HW00005119,6
HW00000259,1
HW00007557,2
HW00001863,2
HW00003511,8
HW00005696,6
HW00005865,7
HW00004217,4
HW00000474,7
HW00005514,7
HW00003263,7
HW00003793,2
HW00004425,9
HW00001781,7
HW00007118,8
HW00007362,1
HW00000655,2
HW00005462,9
HW00001435,8
HW00003323,6
HW00006745,2
HW00007772,8
HW00002680,9
HW00007365,6
HW00007778,2
HW00002915,4
HW00003962,6
HW00001981,2
HW00000279,6
HW00003509,7
HW00005673,2
HW00001421,2
HW00006839,7
HW00006186,4
HW00006206,6
HW00001213,3
HW00004874,9
HW00005142,1
HW00001200,8
HW00005818,7
HW00006365,6
HW00007539,2
HW00003363,6
HW00004546,9
HW00006467,7
HW00003075,1
HW00003374,7
HW00006831,1
HW00001795,1
HW00002034,6
HW00003508,1
HW00001961,2
HW00000482,7
HW00001648,6
HW00006283,3
HW00004630,4
HW00007835,6
HW00004650,2
HW00006309,1
HW00003780,1
HW00005020,4
HW00005768,1
HW00000212,6
HW00006245,2
HW00000288,0
HW00005957,1
HW00001847,1
HW00005613,6
HW00002565,4
HW00007480,6
HW00000971,7
HW00006212,9
HW00001933,0
HW00000734,6
HW00005791,1
HW00005388,7
HW00005915,6
HW00006643,2
HW00003776,4
HW00000780,0
HW00000806,2
HW00007528,7
HW00004777,7
HW00007672,7
HW00000767,6
HW00001010,7
HW00002777,7
HW00004516,9
HW00005562,2
HW00006274,7
HW00002690,7
HW00007897,6
HW00005147,1
HW00007467,6
HW00000130,1
HW00007700,4
HW00002578,6
HW00006542,7
HW00005130,4
HW00005982,0
HW00005604,1
HW00001549,6
HW00005853,4
HW00003237,9
HW00003460,7
HW00007012,3
HW00006519,1
HW00000880,4
HW00003354,2
HW00003936,2
HW00002372,7
HW00000506,3
HW00003917,8
HW00000677,1
HW00006568,2
HW00007547,9
HW00006686,6
HW00007910,2
HW00006580,1
HW00001836,2
HW00002396,1
HW00000290,2
HW00007085,6
HW00007072,1
HW00006569,6
HW00001948,5
HW00006282,6
HW00007548,7
HW00004997,6
HW00006244,9
HW00002672,2
HW00001249,2
HW00006557,0
HW00005359,5
HW00005313,7
HW00003180,4
HW00001271,7
HW00003744,2
HW00001736,6
HW00000669,0
HW00007033,7
HW00003974,2
HW00007294,2
HW00003669,2
HW00007877,7
HW00007381,7
HW00006949,6
HW00006178,4
HW00004924,9
HW00007116,0
HW00007438,7
HW00004796,6
HW00006629,7
HW00003494,0
HW00004971,6
HW00007211,2
HW00007513,6
HW00002356,6
HW00002472,6
HW00004018,9
HW00006948,7
HW00000640,1
HW00004916,6
HW00006313,0
HW00000490,6
HW00005746,2
HW00003450,7
HW00007295,2
HW00006825,6
HW00002576,9
HW00003683,6
HW00003588,7
HW00006725,7
HW00002380,1
HW00000456,7
HW00006844,5
HW00000040,6
HW00003820,0
HW00000014,6
HW00002203,2
HW00006591,2
HW00006781,2
HW00005682,7
HW00005799,6
HW00000543,2
HW00000435,1
HW00001515,1
HW00002116,6
HW00003880,1
HW00003935,0
HW00005624,2
HW00005289,1
HW00004622,2
HW00001407,7
HW00003827,2
HW00007501,6
HW00000114,4
HW00003332,4
HW00006718,0
HW00005234,6
HW00004128,4
HW00003539,0
HW00001086,7
HW00001789,1
HW00005231,7
HW00006592,9
HW00001176,1
HW00002604,6
HW00006883,9
HW00007788,8
HW00000719,6
HW00007344,2
HW00002026,6
HW00005627,2
HW00002642,3
HW00005096,1
HW00006399,7
HW00001452,9
HW00002829,0
HW00002285,7
HW00001985,7
HW00005181,6
HW00000168,7
HW00006697,0
HW00004612,8
HW00002083,6
HW00003659,1
HW00000659,0
HW00007677,4
HW00006126,6
HW00006768,5
HW00007425,1
HW00001954,3
HW00000375,1
HW00002341,7
HW00000948,2
HW00003529,7
HW00000842,2
HW00001463,2
HW00003981,7
HW00001771,8
HW00005240,2
HW00006493,9
HW00003681,1
HW00001924,4
HW00000958,1
HW00002879,1
HW00004220,9
HW00001257,9
HW00000953,1
HW00007299,4
HW00004549,2
HW00005442,7
HW00006504,4
HW00006225,1
HW00002564,7
HW00001857,1
HW00004493,7
HW00006548,2
HW00001267,7
HW00004304,1
HW00003903,4
HW00005703,7
HW00000508,6
HW00001136,2
HW00001557,7
HW00000751,9
HW00007277,2
HW00006333,1
HW00005267,6
HW00004487,9
HW00003894,2
HW00005112,6
HW00002029,6
HW00001746,8
HW00001070,1
HW00002816,7
HW00002393,0
HW00002192,5
HW00005272,6
HW00004922,1
HW00004583,3
HW00007441,1
HW00004342,6
HW00002491,7
HW00002908,7
HW00002632,7
HW00002962,0
HW00001120,0
HW00003020,1
HW00006827,6
HW00003657,1
HW00003273,2
HW00002076,2
HW00007113,7
HW00006540,7
HW00006953,6
HW00006702,2
HW00007682,2
HW00004235,9
HW00002697,8
HW00006160,7
HW00005785,9
HW00001123,6
HW00000539,7
HW00000074,2
HW00002859,5
HW00004668,6
HW00000846,1
HW00001956,2
HW00004356,1
HW00004102,2
HW00002796,0
HW00007470,1
HW00004666,7
HW00006625,1
HW00002973,1
HW00006116,2
HW00001883,1
HW00007010,7
HW00004891,1
HW00006752,1
HW00007323,2
HW00007545,7
HW00000170,1
HW00003221,6
HW00006898,6
HW00007114,6
HW00007077,7
HW00007092,7
HW00005394,7
HW00001587,6
HW00004541,7
HW00005317,6
HW00003113,9
HW00006378,2
HW00003736,7
HW00002566,1
HW00004830,6
HW00003666,7
HW00007282,6
HW00000992,7
HW00006624,2
HW00006340,4
HW00002148,2
HW00003235,0
HW00004955,9
HW00004946,6
HW00002822,7
HW00001373,0
HW00000936,1
HW00007565,7
HW00006859,0
HW00002534,6
HW00004296,9
HW00001324,1
HW00001849,6
HW00004680,6
HW00002906,3
HW00000576,6
HW00002839,9
HW00002290,0
HW00002283,8
HW00006122,0
HW00005235,1
HW00006362,6
HW00006261,7
HW00007564,1
HW00005123,0
HW00001252,6
HW00001741,7
HW00002620,2
HW00001973,7
HW00000384,6
HW00002477,2
HW00002723,7
HW00006916,4
HW00004196,6
HW00001934,4
HW00002444,2
HW00004248,9
HW00004459,7
HW00001544,9
HW00004135,4
HW00000367,8
HW00002308,4
HW00001986,0
HW00002800,2
HW00001862,6
HW00000415,1
HW00000876,2
HW00007084,2
HW00002342,1
HW00006801,6
HW00003737,7
HW00001464,9
HW00002958,1
HW00005932,2
HW00000472,9
HW00002201,0
HW00005591,2
HW00000631,6
HW00005678,7
HW00007030,2
HW00001460,9
HW00007411,6
HW00005312,1
HW00003680,3
HW00004046,7
HW00007286,1
HW00004273,5
HW00003572,2
HW00002162,7
HW00001588,4
HW00005864,1
HW00007407,7
HW00001888,1
HW00007849,1
HW00003654,6
HW00006228,6
HW00004595,0
HW00000219,6
HW00004403,0
HW00004592,2
HW00003208,2
HW00000946,9
HW00004368,9
HW00004792,1
HW00005051,4
HW00006000,8
HW00007581,2
HW00006779,6
HW00005500,3
HW00001831,9
HW00005757,1
HW00002167,0
HW00005321,0
HW00001467,5
HW00003008,7
HW00004923,1
HW00005155,6
HW00000787,4
HW00001168,6
HW00001690,6
HW00007806,0
HW00005224,7
HW00006754,1
HW00004718,2
HW00005907,9
HW00005440,7
HW00003389,1
HW00004918,1
HW00002070,1
HW00002188,1
HW00001116,0
HW00004609,1
HW00005955,6
HW00007604,9
HW00002114,2
HW00006701,0
HW00002592,4
HW00000029,6
HW00003121,7
HW00005206,7
HW00001149,6
HW00002345,0
HW00002086,8
HW00002481,2
HW00001132,5
HW00005681,2
HW00003671,6
HW00006761,1
HW00002065,7
HW00000914,1
HW00007209,2
HW00003892,7
HW00002335,6
HW00000727,9
HW00005280,1
HW00001988,9
HW00007874,3
HW00002878,7
HW00002863,2
HW00002206,6
HW00002181,4
HW00006201,0
HW00002804,7
HW00003471,3
HW00001341,0
HW00003919,6
HW00001743,1
HW00001639,2
HW00001558,1
HW00003715,9
HW00006596,9
HW00001927,1
HW00004823,0
HW00003991,4
HW00005106,0
HW00007898,2
HW00005512,0
HW00002838,4
HW00000282,6
HW00000700,2
HW00000945,2
HW00002257,6
HW00000054,1
HW00002729,2
HW00004567,2
HW00000629,1
HW00005620,6
HW00002292,0
HW00005322,2
HW00006738,0
HW00005003,7
HW00002173,9
HW00001399,3
HW00001193,4
HW00005671,7
HW00000703,0
HW00002097,6
HW00000120,7
HW00000153,6
HW00002582,9
HW00007642,4
HW00004885,5
HW00003334,5
HW00002900,7
HW00000666,7
HW00003150,6
HW00000312,6
HW00002790,4
HW00002649,7
HW00006165,7
HW00003123,9
HW00000429,1
HW00001159,4
HW00004608,7
HW00003658,1
HW00005523,1
HW00004972,2
HW00001093,2
HW00002132,8
HW00005144,0
HW00003653,7
HW00001765,7
HW00005699,1
HW00000728,4
HW00000536,2
HW00001021,1
HW00005715,7
HW00000419,7
HW00006056,7
HW00006650,9
HW00006648,3
HW00004654,6
HW00004094,5
HW00002274,7
HW00004317,6
HW00002636,6
HW00005997,1
HW00007058,7
HW00000489,7
HW00007307,1
HW00004307,6
HW00004969,7
HW00007066,3
HW00006764,0
HW00003918,4
HW00004708,1
HW00005837,8
HW00004312,7
HW00002814,4
HW00006249,1
HW00003787,0
HW00001694,0
HW00005526,0
HW00006089,4
HW00004089,0
HW00002057,4
HW00005989,7
HW00007394,9
HW00005930,2
HW00006719,1
HW00000112,1
HW00006320,8
HW00001894,4
HW00004937,0
HW00000332,7
HW00005825,1
HW00002517,7
HW00000097,7
HW00001877,2
HW00004714,1
HW00000593,1
HW00003466,2
HW00007926,6
HW00007653,4
HW00004027,7
HW00000630,6
HW00006910,2
HW00002199,5
HW00007095,1
HW00002248,9
HW00002108,6
HW00004398,2
HW00005362,6
HW00003296,1
HW00001809,1
HW00005929,1
HW00002095,3
HW00000965,1
HW00006590,7
HW00004578,2
HW00004949,1
HW00007749,4
HW00005634,6
HW00001277,2
HW00000016,1
HW00002252,6
HW00003567,0
HW00005102,9
HW00005942,7
HW00001492,1
HW00000512,2
HW00006507,4
HW00003085,9
HW00005895,2
HW00005525,7
HW00003524,1
HW00002306,0
HW00006583,1
HW00002573,7
HW00005441,6
HW00004835,2
HW00003304,6
HW00000624,3
HW00001620,0
HW00001643,7
HW00005217,2
HW00001478,6
HW00000988,4
HW00003988,7
HW00004960,1
HW00007007,2
HW00001215,7
HW00004901,2
HW00001969,6
HW00004936,7
HW00001996,7
HW00002572,2
HW00006547,1
HW00004059,7
HW00000759,6
HW00000386,7
HW00004895,2
HW00000217,2
HW00007472,4
HW00003364,7
HW00000216,9
HW00001964,2
HW00000284,0
HW00003842,9
HW00007246,6
HW00003265,4
HW00006466,1
HW00002721,3
HW00004153,2
HW00002424,2
HW00004162,6
HW00002441,7
HW00001055,8
HW00005951,9
HW00002152,7
HW00002795,6
HW00007124,2
HW00001756,1
HW00002938,6
HW00003532,1
HW00002670,6
HW00000171,8
HW00001388,2
HW00004599,3
HW00001678,6
HW00002882,1
HW00000057,0
HW00003130,0
HW00004871,0
HW00005468,1
HW00001094,2
HW00003888,4
HW00007405,7
HW00001505,9
HW00002433,6
HW00001212,8
HW00006359,1
HW00002655,6
HW00005409,6
HW00000969,0
HW00002609,7
HW00005064,6
HW00004939,7
HW00001797,6
HW00001827,6
HW00004803,2
HW00003865,4
HW00006653,2
HW00002579,2
HW00005444,7
HW00000494,1
HW00000726,1
HW00000711,2
HW00000504,1
HW00006919,9
HW00004117,9
HW00007121,1
HW00004191,3
HW00007699,1
HW00003419,0
HW00004055,3
HW00004185,2
HW00001537,1
HW00001875,7
HW00000156,5
HW00002369,6
HW00000322,0
HW00004297,1
HW00006830,2
HW00006081,9
HW00001133,6
HW00007508,2
HW00006484,6
HW00006829,2
HW00000688,0
HW00002606,9
HW00004547,1
HW00005473,6
HW00002593,2
HW00001628,1
HW00000108,2
HW00000896,7
HW00002338,1
HW00004282,4
HW00006366,1
HW00000869,9
HW00006812,9
HW00005196,7
HW00005226,0
HW00006171,8
HW00005009,7
HW00007644,7
HW00002913,7
HW00007705,6
HW00005994,9
HW00002299,3
HW00006251,7
HW00003504,7
HW00007858,4
HW00002351,4
HW00002897,6
HW00001218,7
HW00005855,6
HW00006929,0
HW00003033,7
HW00007345,1
HW00005088,6
HW00004808,0
HW00001606,3
HW00004721,1
HW00003628,2
HW00006985,7
HW00003873,6
HW00005427,2
HW00001307,4
HW00006566,7
HW00003601,2
HW00002538,2
HW00007331,3
HW00005894,9
HW00005515,6
HW00004243,7
HW00007410,1
HW00003949,5
HW00002080,0
HW00004810,2
HW00006339,2
HW00000395,1
HW00004101,1
HW00002041,7
HW00004569,4
HW00005570,6
HW00007216,0
HW00000825,0
HW00000368,2
HW00001239,2
HW00003698,6
HW00004262,8
HW00007202,3
HW00005802,1
HW00000866,1
HW00003718,0
HW00002159,6
HW00002156,1
HW00001825,6
HW00005032,7
HW00000561,9
HW00003092,2
HW00003129,7
HW00005057,0
HW00001655,6
HW00002837,1
HW00003701,7
HW00003040,6
HW00007497,0
HW00005150,6
HW00005518,1
HW00007469,9
HW00004079,7
HW00006705,2
HW00007777,1
HW00000352,9
HW00007177,4
HW00002596,0
HW00002398,2
HW00004015,7
HW00003193,0
HW00001074,4
HW00001615,6
HW00003925,6
HW00002129,7
HW00007863,9
HW00002747,6
HW00001362,3
HW00004791,4
HW00003224,1
HW00002713,2
HW00007599,2
HW00006713,4
HW00006016,1
HW00003836,0
HW00006085,2
HW00004867,6
HW00002320,1
HW00005376,0
HW00002850,7
HW00006008,4
HW00007814,7
HW00002475,1
HW00000450,1
HW00007567,7
HW00005528,1
HW00004479,2
HW00000782,6
HW00002392,0
HW00007108,7
HW00005960,6
HW00004560,4
HW00003093,7
HW00005745,9
HW00000801,3
HW00002049,2
HW00007086,6
HW00000749,9
HW00001366,6
HW00007929,6
HW00000251,4
HW00007765,4
HW00000699,7
HW00007550,9
HW00007643,7
HW00007617,1
HW00001813,7
HW00007087,0
HW00000267,6
HW00002742,7
HW00002971,2
HW00007314,2
HW00004257,7
HW00000392,2
HW00005913,6
HW00000763,2
HW00004332,1
HW00003629,6
HW00004289,7
HW00007605,0
HW00005110,2
HW00005598,6
HW00006623,7
HW00003705,7
HW00005973,5
HW00004991,6
HW00000129,7
HW00004310,0
HW00002400,1
HW00004263,1
HW00000967,7
HW00000715,4
HW00000167,6
HW00004192,2
HW00003089,1
HW00005465,9
HW00002134,6
HW00003342,2
HW00005747,6
HW00007694,6
HW00006849,1
HW00006222,1
HW00003716,2
HW00001275,5
HW00001474,6
HW00002004,4
HW00004633,7
HW00002532,7
HW00006755,2
HW00007689,3
HW00003656,2
HW00003902,6
HW00007352,0
HW00003973,7
HW00001089,2
HW00005083,2
HW00007291,2
HW00007427,7
HW00002851,1
HW00000466,2
HW00004383,6
HW00007779,6
HW00003484,2
HW00004376,2
HW00006018,1
HW00002417,1
HW00006981,7
HW00003379,4
HW00003930,7
HW00001748,6
HW00002020,0
HW00000022,7
HW00004198,1
HW00001983,1
HW00002495,9
HW00004669,1
HW00003616,1
HW00004486,2
HW00000783,0
HW00005561,6
HW00003611,9
HW00003822,7
HW00006476,6
HW00000025,6
HW00003898,9
HW00002196,6
HW00000909,2
HW00007232,1
HW00003985,9
HW00005184,8
HW00006973,1
HW00006518,5
HW00007903,4
HW00003209,2
HW00003921,9
HW00003276,6
HW00003315,1
HW00006703,8
HW00007048,1
HW00001398,6
HW00007466,2
HW00004645,7
HW00005099,4
HW00005695,2
HW00002857,1
HW00006743,6
HW00002942,2
HW00002301,3
HW00006634,7
HW00005704,6
HW00004531,1
HW00001199,7
HW00001584,6
HW00004535,0
HW00005888,7
HW00004658,7
HW00001840,9
HW00000326,6
HW00000623,2
HW00000486,7
HW00003578,7
HW00000479,4
HW00006901,1
HW00002846,2
HW00005586,9
HW00007773,2
HW00007169,6
HW00000560,0
HW00000347,1
HW00002432,2
HW00006040,9
HW00002683,0
HW00001101,9
HW00001395,6
HW00001318,6
HW00007034,1
HW00002074,7
HW00006797,0
HW00007531,1
HW00001882,1
HW00003457,9
HW00002330,0
HW00007583,6
HW00001910,7
HW00002078,4
HW00005991,6
HW00001156,6
HW00006360,7
HW00000338,7
HW00000492,3
HW00006579,1
HW00000235,0
HW00004582,2
HW00007285,1
HW00005773,2
HW00005210,2
HW00006023,9
HW00001031,7
HW00006508,3
HW00006017,1
HW00002445,2
HW00005273,6
HW00001880,1
HW00004781,6
HW00002760,9
HW00005090,0
HW00005795,3
HW00000785,2
HW00005013,1
HW00003127,0
HW00003580,6
HW00002411,2
HW00003134,7
HW00004270,6
HW00007200,6
HW00006822,0
HW00005170,3
HW00004334,9
HW00004945,0
HW00000311,4
HW00003688,9
HW00002588,2
HW00007017,6
HW00003346,2
HW00007109,7
HW00006899,1
HW00005959,6
HW00007375,5
HW00000250,7
HW00000644,2
HW00005931,4
HW00007750,5
HW00000297,2
HW00004250,1
HW00000993,9
HW00006620,1
HW00003288,1
HW00007579,4
HW00000263,7
HW00002679,6
HW00006131,5
HW00003846,9
HW00002706,7
HW00001016,0
HW00003173,6
HW00007418,6
HW00005414,0
HW00003238,1
HW00006496,7
HW00005120,4
HW00006651,1
HW00000883,2
HW00006215,2
HW00004481,7
HW00007139,1
HW00001800,1
HW00007248,1
HW00002474,5
HW00007707,7
HW00001583,7
HW00002772,4
HW00001130,6
HW00000685,9
HW00007008,7
HW00006335,6
HW00007722,6
HW00005305,4
HW00001473,6
HW00004802,2
HW00003824,6
HW00007526,0
HW00001003,6
HW00003670,2
HW00001553,4
HW00000627,0
HW00001692,6
HW00002738,6
HW00001881,7
HW00007641,9
HW00003326,7
HW00004202,4
HW00002875,1
HW00003639,1
HW00003080,1
HW00005585,0
HW00007334,2
HW00000841,1
HW00001917,1
HW00000397,4
HW00005647,4
HW00001609,4
HW00007756,2
HW00002287,7
HW00000609,1
HW00001895,8
HW00002376,0
HW00001672,0
HW00002964,4
HW00002069,7
HW00000701,9
HW00003431,9
HW00005259,1
HW00004359,9
HW00005364,3
HW00006292,1
HW00007094,1
HW00001286,4
HW00005438,2
HW00007031,7
HW00002801,6
HW00005995,0
HW00007674,6
HW00007003,2
HW00004644,2
HW00007670,8
HW00000794,6
HW00003157,5
HW00003809,7
HW00001232,6
HW00000529,7
HW00000599,9
HW00002009,8
HW00005298,1
HW00003485,7
HW00003403,7
HW00004579,4
HW00005173,5
HW00000468,9
HW00003073,7
HW00004123,1
HW00003663,1
HW00004505,2
HW00001931,0
HW00001408,1
HW00000339,4
HW00004183,0
HW00000155,1
HW00001477,7
HW00001047,2
HW00007090,0
HW00001480,1
HW00003768,0
HW00003864,9
HW00000957,1
HW00006971,2
HW00002183,7
HW00006275,3
HW00006605,2
HW00002739,0
HW00002549,2
HW00004711,0
HW00000622,6
HW00007651,9
HW00007459,0
HW00003187,7
HW00002191,0
HW00005091,4
HW00005194,2
HW00005000,7
HW00006088,6
HW00002468,1
HW00003488,7
HW00005566,0
HW00003171,2
HW00005385,6
HW00005870,0
HW00005370,6
HW00007206,1
HW00004367,6
HW00007692,1
HW00001484,6
HW00007687,0
HW00002696,2
HW00001448,7
HW00007759,2
HW00005592,1
HW00007002,7
HW00003386,9
HW00003397,3
HW00006780,5
HW00001358,2
HW00000579,1
HW00004625,1
HW00004698,6
HW00000208,5
HW00000448,2
HW00006505,7
HW00000321,4
HW00001323,6
HW00003424,6
HW00000464,6
HW00003309,7
HW00003895,1
HW00003868,7
HW00006305,2
HW00005255,2
HW00005300,7
HW00004156,9
HW00004833,2
HW00006230,6
HW00006854,6
HW00000086,1
HW00007027,9
HW00000900,4
HW00001092,0
HW00005021,0
HW00001635,1
HW00002447,8
HW00003128,7
HW00007230,6
HW00004371,1
HW00004930,1
HW00007376,6
HW00003025,7
HW00001724,0
HW00002473,2
HW00001762,2
HW00004091,6
HW00006673,7
HW00003821,7
HW00001786,6
HW00002798,1
HW00005459,6
HW00002295,4
HW00000480,4
HW00005085,1
HW00007507,4
HW00006409,7
HW00002507,2
HW00003152,7
HW00002374,4
HW00007471,2
HW00002631,6
HW00004329,7
HW00006603,2
HW00005770,4
HW00007384,6
HW00003730,6
HW00003229,6
HW00000425,6
HW00004009,6
HW00007633,6
HW00000484,1
HW00004417,6
HW00005252,7
HW00002229,7
HW00002617,9
HW00004234,6
HW00006515,2
HW00003830,7
HW00007538,6
HW00003940,9
HW00002187,1
HW00003234,1
HW00000067,1
HW00001367,1
HW00004439,6
HW00006621,7
HW00005381,4
HW00006432,4
HW00003103,2
HW00005861,6
HW00005804,4
HW00005877,1
HW00002898,8
HW00001434,1
HW00003350,1
HW00003557,6
HW00001547,6
HW00004538,6
HW00000211,0
HW00006979,4
HW00002969,2
HW00002365,9
HW00007367,6
HW00000183,0
HW00002855,3
HW00005565,0
HW00007922,8
HW00003535,1
HW00005469,7
HW00004720,1
HW00006813,4
HW00007889,1
HW00001808,0
HW00005204,2
HW00007794,6
HW00007769,8
HW00006181,7
HW00005019,1
HW00006237,6
HW00005183,3
HW00007203,2
HW00006984,9
HW00007228,0
HW00007231,1
HW00007036,7
HW00005706,7
HW00004113,2
HW00001879,1
HW00002099,1
HW00006472,6
HW00003585,5
HW00007628,0
HW00006312,3
HW00002177,1
HW00006373,1
HW00001617,7
HW00006417,2
HW00001417,0
HW00001755,1
HW00003760,8
HW00004613,7
HW00004421,1
HW00003301,2
HW00006750,6
HW00005002,2
HW00001539,9
HW00003115,3
HW00000932,9
HW00000586,7
HW00000359,7
HW00004726,6
HW00001822,1
HW00000870,4
HW00006491,2
HW00001739,6
HW00005241,6
HW00001113,0
HW00006139,5
HW00004051,2
HW00002450,6
HW00006074,4
HW00003984,1
HW00007148,9
HW00005336,2
HW00005092,4
HW00005356,7
HW00006741,4
HW00001040,2
HW00003648,0
HW00000572,1
HW00005910,5
HW00000085,1
HW00001997,4
HW00000283,2
HW00007141,4
HW00000218,1
HW00006637,6
HW00005169,1
HW00002071,8
HW00004347,0
HW00006277,7
HW00001946,7
HW00004926,3
HW00004948,2
HW00006423,6
HW00002673,6
HW00003417,6
HW00004980,2
HW00006349,6
HW00001179,6
HW00006464,7
HW00003813,9
HW00001354,6
HW00004494,6
HW00006328,0
HW00004231,6
HW00006077,7
HW00001999,3
HW00007097,5
HW00003318,2
HW00000592,4
HW00006217,6
HW00002266,2
HW00004132,2
HW00005426,6
HW00003302,2
HW00002554,2
HW00006742,4
HW00004678,8
HW00006395,7
HW00001928,7
HW00001892,1
HW00004938,2
HW00005228,5
HW00002643,9
HW00007403,1
HW00006846,2
HW00003293,0
HW00006663,1
HW00004586,6
HW00005335,2
HW00000595,7
HW00007575,7
HW00005658,6
HW00003798,7
HW00001259,0
HW00003290,2
HW00002439,2
HW00002282,2
HW00004786,9
HW00007452,7
HW00001665,1
HW00007831,1
HW00004341,8
HW00007178,6
HW00003373,1
HW00000455,3
HW00002876,7
HW00001697,4
HW00003102,9
HW00004337,1
HW00007843,6
HW00006532,2
HW00003320,7
HW00006933,0
HW00006601,1
HW00003066,7
HW00005412,8
HW00007371,9
HW00000510,7
HW00000612,4
HW00001799,0
HW00001345,1
HW00003118,4
HW00007931,4
HW00000768,1
HW00000313,6
HW00001930,0
HW00002466,0
HW00005501,7
HW00002147,6
HW00000463,6
HW00003841,6
HW00003826,8
HW00000470,7
HW00000023,4
